สถานี,วันที่-เวลา,pH,DO,EC,Temp
กระทุ่มแบน จ.สมุทรสาคร (117),24 ม.ค.2558 03:00,6.4,0.1,655.9,25.8
กระทุ่มแบน จ.สมุทรสาคร (117),24 ม.ค.2558 03:30,6.4,0.1,650.9,25.8
กระทุ่มแบน จ.สมุทรสาคร (117),24 ม.ค.2558 04:00,6.4,0.1,645.5,25.7
กระทุ่มแบน จ.สมุทรสาคร (117),24 ม.ค.2558 04:30,6.4,0.1,638.6,25.7
กระทุ่มแบน จ.สมุทรสาคร (117),24 ม.ค.2558 05:00,6.4,0.1,631.4,25.6
กระทุ่มแบน จ.สมุทรสาคร (117),24 ม.ค.2558 05:30,6.5,0.1,620.7,25.7
กระทุ่มแบน จ.สมุทรสาคร (117),24 ม.ค.2558 06:00,6.5,0.1,614.5,25.6
กระทุ่มแบน จ.สมุทรสาคร (117),24 ม.ค.2558 06:30,6.4,0.1,614.2,25.6
กระทุ่มแบน จ.สมุทรสาคร (117),24 ม.ค.2558 07:00,6.4,0.1,612.4,25.7
กระทุ่มแบน จ.สมุทรสาคร (117),24 ม.ค.2558 07:30,6.4,0.1,612.8,25.7
กระทุ่มแบน จ.สมุทรสาคร (117),24 ม.ค.2558 08:00,6.4,0.1,613.9,25.7
กระทุ่มแบน จ.สมุทรสาคร (117),24 ม.ค.2558 08:30,6.3,0.1,615.2,25.7
กระทุ่มแบน จ.สมุทรสาคร (117),24 ม.ค.2558 09:00,6.3,0.1,617.1,25.7
กระทุ่มแบน จ.สมุทรสาคร (117),24 ม.ค.2558 09:30,6.3,0.1,618.8,25.8
กระทุ่มแบน จ.สมุทรสาคร (117),24 ม.ค.2558 10:00,6.2,0.1,621.8,25.8
กระทุ่มแบน จ.สมุทรสาคร (117),24 ม.ค.2558 10:30,6.2,0.1,629.1,25.8
กระทุ่มแบน จ.สมุทรสาคร (117),24 ม.ค.2558 11:00,6.1,0.2,635.1,25.8
กระทุ่มแบน จ.สมุทรสาคร (117),24 ม.ค.2558 11:30,6.1,0.3,635.6,25.9
กระทุ่มแบน จ.สมุทรสาคร (117),24 ม.ค.2558 12:00,6.1,0.4,636.6,26
กระทุ่มแบน จ.สมุทรสาคร (117),24 ม.ค.2558 12:30,6,0.7,636.9,26.1
กระทุ่มแบน จ.สมุทรสาคร (117),24 ม.ค.2558 13:00,6.1,1.7,633.5,26.3
กระทุ่มแบน จ.สมุทรสาคร (117),24 ม.ค.2558 13:30,6.1,2.5,630.2,26.4
กระทุ่มแบน จ.สมุทรสาคร (117),24 ม.ค.2558 14:00,6.1,2.3,628.4,26.5
กระทุ่มแบน จ.สมุทรสาคร (117),24 ม.ค.2558 14:30,6.2,2,626.3,26.5
กระทุ่มแบน จ.สมุทรสาคร (117),24 ม.ค.2558 15:00,6.2,1.1,624,26.5
กระทุ่มแบน จ.สมุทรสาคร (117),24 ม.ค.2558 15:30,6.2,0.8,620.6,26.5
กระทุ่มแบน จ.สมุทรสาคร (117),24 ม.ค.2558 16:00,6.3,0.7,618.9,26.5
กระทุ่มแบน จ.สมุทรสาคร (117),24 ม.ค.2558 16:30,6.3,0.7,617.2,26.5
กระทุ่มแบน จ.สมุทรสาคร (117),24 ม.ค.2558 17:00,6.3,0.6,614.9,26.4
กระทุ่มแบน จ.สมุทรสาคร (117),24 ม.ค.2558 17:30,6.3,0.6,613.5,26.4
กระทุ่มแบน จ.สมุทรสาคร (117),24 ม.ค.2558 18:00,6.3,0.6,613.3,26.3
กระทุ่มแบน จ.สมุทรสาคร (117),24 ม.ค.2558 18:30,6.3,0.5,613,26.2
กระทุ่มแบน จ.สมุทรสาคร (117),24 ม.ค.2558 19:00,6.3,0.5,612.9,26.1
กระทุ่มแบน จ.สมุทรสาคร (117),24 ม.ค.2558 19:30,6.3,0.5,613.2,26.1
กระทุ่มแบน จ.สมุทรสาคร (117),24 ม.ค.2558 20:00,6.2,0.5,615.5,26
กระทุ่มแบน จ.สมุทรสาคร (117),24 ม.ค.2558 20:30,6.2,0.6,614.8,26
กระทุ่มแบน จ.สมุทรสาคร (117),24 ม.ค.2558 21:00,6.2,0.6,615,26
กระทุ่มแบน จ.สมุทรสาคร (117),24 ม.ค.2558 21:30,6.1,0.7,616.2,25.9
กระทุ่มแบน จ.สมุทรสาคร (117),24 ม.ค.2558 22:00,6.1,0.7,616.2,25.9
กระทุ่มแบน จ.สมุทรสาคร (117),24 ม.ค.2558 22:30,6.1,0.6,614.3,25.9
กระทุ่มแบน จ.สมุทรสาคร (117),24 ม.ค.2558 23:00,6.1,0.5,611.1,25.9
กระทุ่มแบน จ.สมุทรสาคร (117),24 ม.ค.2558 23:30,6.2,0.5,608.7,25.9
กระทุ่มแบน จ.สมุทรสาคร (117),25 ม.ค.2558 00:00,6.2,0.4,605.5,25.9
กระทุ่มแบน จ.สมุทรสาคร (117),25 ม.ค.2558 00:30,6.3,0.3,601.6,25.9
กระทุ่มแบน จ.สมุทรสาคร (117),25 ม.ค.2558 01:00,6.3,0.2,597.9,25.9
กระทุ่มแบน จ.สมุทรสาคร (117),25 ม.ค.2558 01:30,6.3,0.2,594.5,26
กระทุ่มแบน จ.สมุทรสาคร (117),25 ม.ค.2558 02:00,6.4,0.2,591.1,26
กระทุ่มแบน จ.สมุทรสาคร (117),25 ม.ค.2558 02:30,6.4,0.1,589.3,25.9
กระทุ่มแบน จ.สมุทรสาคร (117),25 ม.ค.2558 03:00,6.4,0.1,585.9,25.9
